snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
0,0,-6.075200e+08,-4.0000,-6.075200e+08,-4.0000,1,2.821302e-21,0.0883,1.0069
1,2000,-6.075200e+08,-4.0000,-6.077947e+08,-4.0018,1,2.336785e-21,0.0883,1.0002
2,4000,-6.075200e+08,-4.0000,-6.080398e+08,-4.0034,1,2.335862e-21,0.0883,1.0001
3,6000,-6.075200e+08,-4.0000,-6.082681e+08,-4.0049,1,2.334519e-21,0.0883,1.0000
4,8000,-6.075200e+08,-4.0000,-6.084854e+08,-4.0064,1,2.333228e-21,0.0883,1.0000
5,10000,-6.075200e+08,-4.0000,-6.087112e+08,-4.0078,1,2.331923e-21,0.0883,1.0000
6,12000,-6.075200e+08,-4.0000,-6.089318e+08,-4.0093,1,2.330634e-21,0.0883,1.0000
7,14000,-6.075200e+08,-4.0000,-6.091537e+08,-4.0108,1,2.329318e-21,0.0883,1.0000
8,16000,-6.075200e+08,-4.0000,-6.093604e+08,-4.0121,1,2.328100e-21,0.0883,1.0000
9,18000,-6.075200e+08,-4.0000,-6.095752e+08,-4.0135,1,2.326830e-21,0.0883,1.0000
10,20000,-6.075200e+08,-4.0000,-6.098052e+08,-4.0150,1,2.325465e-21,0.0883,1.0000
11,22000,-6.075200e+08,-4.0000,-6.100070e+08,-4.0164,1,2.324324e-21,0.0883,1.0000
12,24000,-6.075200e+08,-4.0000,-6.102234e+08,-4.0178,1,2.323098e-21,0.0883,1.0000
13,26000,-6.075200e+08,-4.0000,-6.104616e+08,-4.0194,1,2.321670e-21,0.0883,1.0000
14,28000,-6.075200e+08,-4.0000,-6.106636e+08,-4.0207,1,2.320501e-21,0.0883,1.0000
15,30000,-6.075200e+08,-4.0000,-6.108410e+08,-4.0219,1,2.319438e-21,0.0883,1.0000
16,32000,-6.075200e+08,-4.0000,-6.110215e+08,-4.0231,1,2.318383e-21,0.0883,1.0000
17,34000,-6.075200e+08,-4.0000,-6.112095e+08,-4.0243,1,2.317328e-21,0.0883,1.0000
18,36000,-6.075200e+08,-4.0000,-6.114062e+08,-4.0256,1,2.316184e-21,0.0883,1.0000
19,38000,-6.075200e+08,-4.0000,-6.115939e+08,-4.0268,1,2.315062e-21,0.0883,1.0000
20,40000,-6.075200e+08,-4.0000,-6.117712e+08,-4.0280,1,2.314041e-21,0.0883,1.0000
21,42000,-6.075200e+08,-4.0000,-6.119420e+08,-4.0291,1,2.313061e-21,0.0883,1.0000
