dw_over_kappa,delta_omega_rad_s,delta_omega_eff_over_kappa,np_label,n_peaks,contrast,sech2_env_corr,u_int_tail_rel_std,is_single
1.000,1.518800e+08,0.637,3,24,9.00,0.9906,0.0225,0
1.500,2.278200e+08,1.102,3,31,8.32,0.9901,0.0245,0
2.000,3.037600e+08,1.572,3,3,14.73,0.9862,0.0247,0
2.500,3.797000e+08,2.046,3,34,8.66,0.9884,0.0269,0
3.000,4.556400e+08,2.523,3,16,12.30,0.9847,0.0296,0
3.500,5.315800e+08,3.010,3,13,11.99,0.9856,0.0280,0
4.000,6.075200e+08,3.882,1,1137,1.00,nan,0.0056,0
4.500,6.834600e+08,4.424,1,1042,1.00,nan,0.0019,0
5.000,7.594000e+08,4.942,1,1461,1.00,nan,0.0012,0
5.500,8.353400e+08,5.454,1,1014,1.00,nan,0.0007,0
6.000,9.112800e+08,5.963,1,1053,1.00,nan,0.0006,0
6.500,9.872200e+08,6.464,6,1,82.84,0.9953,0.0427,1
7.000,1.063160e+09,6.969,6,1,97.02,0.9954,0.0479,1
7.500,1.139100e+09,7.474,6,1,211.76,0.9827,0.0454,1
8.000,1.215040e+09,7.977,6,1,87.61,0.9988,0.0407,1
8.500,1.290980e+09,8.478,6,1,232.68,0.9851,0.0327,1
9.000,1.366920e+09,8.980,6,1,219.47,0.9884,0.0163,1
9.500,1.442860e+09,9.482,6,1,206.86,0.9912,0.0001,1
10.000,1.518800e+09,9.982,6,1,230.77,0.9904,0.0001,1
10.500,1.594740e+09,10.484,6,1,256.99,0.9897,0.0001,1
11.000,1.670680e+09,10.986,6,1,280.78,0.9889,0.0000,1
11.500,1.746620e+09,11.487,6,1,307.54,0.9882,0.0001,1
12.000,1.822560e+09,11.986,6,1,337.89,0.9875,0.0001,1
12.500,1.898500e+09,12.487,6,1,364.96,0.9868,0.0000,1
13.000,1.974440e+09,12.988,6,1,390.62,0.9861,0.0000,1
13.500,2.050380e+09,13.487,6,1,418.30,0.9855,0.0000,1
14.000,2.126320e+09,13.988,6,1,446.35,0.9848,0.0000,1
14.500,2.202260e+09,14.489,6,1,473.96,0.9842,0.0000,1
15.000,2.278200e+09,14.990,6,1,499.53,0.9836,0.0000,1
15.500,2.354140e+09,15.489,6,1,529.18,0.9830,0.0000,1
16.000,2.430080e+09,15.989,6,1,559.95,0.9824,0.0000,1
16.500,2.506020e+09,16.490,3,1,587.07,0.9819,0.0000,0
17.000,2.581960e+09,16.989,3,1,607.04,0.9813,0.0000,0
17.500,2.657900e+09,17.490,3,1,636.70,0.9808,0.0000,0
18.000,2.733840e+09,17.991,3,1,660.99,0.9802,0.0000,0
