snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
0,0,-3.037600e+08,-2.0000,-3.037600e+08,-2.0000,1,1.078268e-20,0.0883,1.0065
1,2000,-3.012875e+08,-1.9837,-3.018815e+08,-1.9876,1,5.347993e-21,0.0883,1.1627
2,4000,-2.988151e+08,-1.9674,-3.000011e+08,-1.9753,1,6.088416e-21,0.0728,1.9333
3,6000,-2.963426e+08,-1.9512,-2.981410e+08,-1.9630,2,6.177665e-21,0.0711,2.1461
4,8000,-2.938701e+08,-1.9349,-2.962570e+08,-1.9506,2,5.951627e-21,0.0779,2.9588
5,10000,-2.913977e+08,-1.9186,-2.943553e+08,-1.9381,2,5.963186e-21,0.0780,2.6765
6,12000,-2.889252e+08,-1.9023,-2.924505e+08,-1.9255,2,5.850688e-21,0.0800,2.4738
7,14000,-2.864527e+08,-1.8860,-2.905366e+08,-1.9129,2,5.938698e-21,0.0794,2.8300
8,16000,-2.839803e+08,-1.8698,-2.886100e+08,-1.9003,2,5.967610e-21,0.0791,2.6361
9,18000,-2.815078e+08,-1.8535,-2.866869e+08,-1.8876,2,5.951769e-21,0.0795,2.8599
10,20000,-2.790353e+08,-1.8372,-2.847825e+08,-1.8750,2,6.010475e-21,0.0793,2.7463
11,22000,-2.765628e+08,-1.8209,-2.828374e+08,-1.8622,2,6.162036e-21,0.0781,2.9796
12,24000,-2.740904e+08,-1.8047,-2.809072e+08,-1.8495,2,6.072016e-21,0.0797,2.8850
13,26000,-2.716179e+08,-1.7884,-2.790105e+08,-1.8370,2,6.179158e-21,0.0793,2.9438
14,28000,-2.691454e+08,-1.7721,-2.770652e+08,-1.8242,2,6.087550e-21,0.0804,3.3465
15,30000,-2.666730e+08,-1.7558,-2.750976e+08,-1.8113,2,6.163974e-21,0.0805,2.5255
16,32000,-2.642005e+08,-1.7395,-2.731266e+08,-1.7983,2,6.160211e-21,0.0807,3.1701
17,34000,-2.617280e+08,-1.7233,-2.711700e+08,-1.7854,2,6.248714e-21,0.0796,3.1062
18,36000,-2.592556e+08,-1.7070,-2.692079e+08,-1.7725,2,6.275849e-21,0.0788,3.0957
19,38000,-2.567831e+08,-1.6907,-2.672382e+08,-1.7595,2,6.281255e-21,0.0795,2.9737
20,40000,-2.543106e+08,-1.6744,-2.652564e+08,-1.7465,2,6.220938e-21,0.0811,3.1092
21,42000,-2.518382e+08,-1.6581,-2.632721e+08,-1.7334,2,6.370107e-21,0.0788,3.7244
22,44000,-2.493657e+08,-1.6419,-2.612612e+08,-1.7202,2,6.486285e-21,0.0786,2.9159
23,46000,-2.468932e+08,-1.6256,-2.592720e+08,-1.7071,2,6.559643e-21,0.0790,3.1187
24,48000,-2.444208e+08,-1.6093,-2.572606e+08,-1.6938,2,6.635715e-21,0.0776,2.8007
25,50000,-2.419483e+08,-1.5930,-2.552525e+08,-1.6806,2,6.477280e-21,0.0790,3.3874
26,52000,-2.394758e+08,-1.5767,-2.532469e+08,-1.6674,2,6.530397e-21,0.0789,2.8613
27,54000,-2.370034e+08,-1.5605,-2.512138e+08,-1.6540,2,6.480301e-21,0.0802,2.9494
28,56000,-2.345309e+08,-1.5442,-2.491856e+08,-1.6407,2,6.623959e-21,0.0798,3.6772
29,58000,-2.320584e+08,-1.5279,-2.471677e+08,-1.6274,2,6.771679e-21,0.0768,2.7614
30,60000,-2.295860e+08,-1.5116,-2.451523e+08,-1.6141,2,6.653268e-21,0.0794,2.8273
31,62000,-2.271135e+08,-1.4953,-2.431284e+08,-1.6008,2,6.930066e-21,0.0771,3.0863
32,64000,-2.246410e+08,-1.4791,-2.411287e+08,-1.5876,2,6.752875e-21,0.0805,3.3174
33,66000,-2.221686e+08,-1.4628,-2.391313e+08,-1.5745,2,6.788859e-21,0.0806,3.3345
34,68000,-2.196961e+08,-1.4465,-2.370991e+08,-1.5611,2,6.935820e-21,0.0788,3.0113
35,70000,-2.172236e+08,-1.4302,-2.350724e+08,-1.5478,2,6.979101e-21,0.0780,3.0033
36,72000,-2.147512e+08,-1.4140,-2.330178e+08,-1.5342,2,6.938107e-21,0.0795,2.9497
37,74000,-2.122787e+08,-1.3977,-2.309704e+08,-1.5207,2,6.922500e-21,0.0799,3.4836
38,76000,-2.098062e+08,-1.3814,-2.289057e+08,-1.5071,2,7.101631e-21,0.0785,3.3554
39,78000,-2.073337e+08,-1.3651,-2.268659e+08,-1.4937,2,7.056566e-21,0.0795,3.8227
40,80000,-2.048613e+08,-1.3488,-2.247920e+08,-1.4801,2,7.235830e-21,0.0781,3.3150
41,82000,-2.023888e+08,-1.3326,-2.227543e+08,-1.4666,2,6.981911e-21,0.0817,3.1465
42,84000,-1.999164e+08,-1.3163,-2.206905e+08,-1.4531,2,7.104687e-21,0.0790,3.2403
43,86000,-1.974439e+08,-1.3000,-2.186548e+08,-1.4397,2,7.544728e-21,0.0766,3.1132
44,88000,-1.949714e+08,-1.2837,-2.166011e+08,-1.4261,2,7.102021e-21,0.0799,3.9383
45,90000,-1.924989e+08,-1.2674,-2.145373e+08,-1.4125,2,7.298411e-21,0.0774,3.2516
46,92000,-1.900265e+08,-1.2512,-2.124712e+08,-1.3989,2,7.436668e-21,0.0753,3.3885
47,94000,-1.875540e+08,-1.2349,-2.104025e+08,-1.3853,2,7.396575e-21,0.0793,3.5741
48,96000,-1.850815e+08,-1.2186,-2.083080e+08,-1.3715,2,7.418874e-21,0.0788,3.3656
49,98000,-1.826091e+08,-1.2023,-2.062004e+08,-1.3577,2,7.640833e-21,0.0777,3.2805
50,100000,-1.801366e+08,-1.1860,-2.041309e+08,-1.3440,2,7.403015e-21,0.0792,3.2491
51,102000,-1.776641e+08,-1.1698,-2.020375e+08,-1.3302,2,7.242704e-21,0.0808,2.9436
52,104000,-1.751917e+08,-1.1535,-1.999388e+08,-1.3164,2,7.617924e-21,0.0785,3.0619
53,106000,-1.727192e+08,-1.1372,-1.978441e+08,-1.3026,2,7.524112e-21,0.0796,4.1208
54,108000,-1.702467e+08,-1.1209,-1.957659e+08,-1.2890,2,7.744512e-21,0.0775,3.4961
55,110000,-1.677743e+08,-1.1047,-1.936870e+08,-1.2753,2,7.800442e-21,0.0784,3.6129
56,112000,-1.653018e+08,-1.0884,-1.915845e+08,-1.2614,2,7.606766e-21,0.0801,3.3899
57,114000,-1.628293e+08,-1.0721,-1.894973e+08,-1.2477,2,7.712154e-21,0.0796,3.6841
58,116000,-1.603569e+08,-1.0558,-1.874293e+08,-1.2341,2,7.808569e-21,0.0780,3.1464
59,118000,-1.578844e+08,-1.0395,-1.853335e+08,-1.2203,2,7.843339e-21,0.0775,3.6044
60,120000,-1.554119e+08,-1.0233,-1.832468e+08,-1.2065,2,7.879594e-21,0.0784,3.4641
61,122000,-1.529395e+08,-1.0070,-1.811584e+08,-1.1928,2,7.867487e-21,0.0797,3.2710
62,124000,-1.504670e+08,-0.9907,-1.790631e+08,-1.1790,2,8.126358e-21,0.0760,3.9900
63,126000,-1.479945e+08,-0.9744,-1.769909e+08,-1.1653,2,8.016062e-21,0.0776,3.1486
64,128000,-1.455220e+08,-0.9581,-1.749056e+08,-1.1516,2,8.055091e-21,0.0777,4.3262
65,130000,-1.430496e+08,-0.9419,-1.728001e+08,-1.1377,2,8.103729e-21,0.0772,3.4339
66,132000,-1.405771e+08,-0.9256,-1.706941e+08,-1.1239,2,7.986461e-21,0.0798,3.2815
67,134000,-1.381046e+08,-0.9093,-1.685824e+08,-1.1100,2,8.386535e-21,0.0766,3.7848
68,136000,-1.356322e+08,-0.8930,-1.664561e+08,-1.0960,2,8.197912e-21,0.0769,3.8482
69,138000,-1.331597e+08,-0.8767,-1.643659e+08,-1.0822,2,8.273241e-21,0.0797,3.2624
70,140000,-1.306872e+08,-0.8605,-1.622565e+08,-1.0683,2,8.704538e-21,0.0739,3.7202
71,142000,-1.282148e+08,-0.8442,-1.601267e+08,-1.0543,2,8.524465e-21,0.0772,3.9100
