snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
0,0,7.594000e+08,5.0000,7.594000e+08,5.0000,1,1.816504e-21,0.0883,1.0068
1,2000,7.569276e+08,4.9837,7.566784e+08,4.9821,1,2.106948e-21,0.0883,1.0000
2,4000,7.544550e+08,4.9674,7.539834e+08,4.9643,1,2.125351e-21,0.0883,1.0000
3,6000,7.519826e+08,4.9512,7.513028e+08,4.9467,1,2.144445e-21,0.0883,1.0000
4,8000,7.495101e+08,4.9349,7.486307e+08,4.9291,1,2.163836e-21,0.0883,1.0000
5,10000,7.470376e+08,4.9186,7.459476e+08,4.9114,1,2.183592e-21,0.0883,1.0000
6,12000,7.445652e+08,4.9023,7.432673e+08,4.8938,1,2.203655e-21,0.0883,1.0000
7,14000,7.420927e+08,4.8860,7.405833e+08,4.8761,1,2.224104e-21,0.0883,1.0000
8,16000,7.396203e+08,4.8698,7.379120e+08,4.8585,1,2.244835e-21,0.0883,1.0000
9,18000,7.371478e+08,4.8535,7.352301e+08,4.8409,1,2.265900e-21,0.0883,1.0000
10,20000,7.346753e+08,4.8372,7.325306e+08,4.8231,1,2.287509e-21,0.0883,1.0000
11,22000,7.322029e+08,4.8209,7.298568e+08,4.8055,1,2.309266e-21,0.0883,1.0000
12,24000,7.297304e+08,4.8047,7.271660e+08,4.7878,1,2.331509e-21,0.0883,1.0000
13,26000,7.272579e+08,4.7884,7.244509e+08,4.7699,1,2.354402e-21,0.0883,1.0000
14,28000,7.247855e+08,4.7721,7.217697e+08,4.7522,1,2.377362e-21,0.0883,1.0000
15,30000,7.223130e+08,4.7558,7.191105e+08,4.7347,1,2.400647e-21,0.0883,1.0000
16,32000,7.198405e+08,4.7395,7.164458e+08,4.7172,1,2.424287e-21,0.0883,1.0000
17,34000,7.173681e+08,4.7233,7.137713e+08,4.6996,1,2.448502e-21,0.0883,1.0000
18,36000,7.148956e+08,4.7070,7.110855e+08,4.6819,1,2.473232e-21,0.0883,1.0000
19,38000,7.124231e+08,4.6907,7.084063e+08,4.6643,1,2.498401e-21,0.0883,1.0000
20,40000,7.099507e+08,4.6744,7.057352e+08,4.6467,1,2.523968e-21,0.0883,1.0000
21,42000,7.074781e+08,4.6581,7.030678e+08,4.6291,1,2.549943e-21,0.0883,1.0000
22,44000,7.050057e+08,4.6419,7.004255e+08,4.6117,1,2.576232e-21,0.0883,1.0000
23,46000,7.025332e+08,4.6256,6.977625e+08,4.5942,1,2.603284e-21,0.0883,1.0000
24,48000,7.000608e+08,4.6093,6.951062e+08,4.5767,1,2.630716e-21,0.0883,1.0000
25,50000,6.975883e+08,4.5930,6.924390e+08,4.5591,1,2.658832e-21,0.0883,1.0000
26,52000,6.951158e+08,4.5767,6.897652e+08,4.5415,1,2.687601e-21,0.0883,1.0000
27,54000,6.926434e+08,4.5605,6.871200e+08,4.5241,1,2.716635e-21,0.0883,1.0000
